Frequency_Hz,Amplitude
2105.0,5.470814221521257e-17
2110.0,2.4116735440242684e-17
2115.0,7.536894138154077e-17
2120.0,8.490548406675327e-18
2125.0,4.5744726989135863e-17
2130.0,1.0782236977785668e-16
2135.0,1.4039236715384894e-16
2140.0,1.0517292690321958e-16
2145.0,5.376814878116974e-17
2150.0,3.292293666413769e-17
2155.0,6.580973338762516e-17
2160.0,9.521424567629299e-17
2165.0,2.863021063694781e-17
2170.0,1.9428802581882384e-17
2175.0,5.860605764383189e-17
2180.0,2.6016546863072594e-17
2185.0,2.7341295101513702e-17
2190.0,6.490460033729445e-17
2195.0,6.25726138728918e-17
2200.0,1.347086068657064e-16
2205.0,7.881312563259848e-17
2210.0,4.425733395225124e-17
2215.0,8.538258963039898e-17
2220.0,1.5591434867597898e-17
2225.0,8.00767970889563e-17
2230.0,1.6744556621160178e-16
2235.0,1.6854360403214652e-16
2240.0,1.0467266254617216e-16
2245.0,9.219132403698139e-17
2250.0,2.694428287473543e-16
2255.0,3.3050447783858973e-16
2260.0,1.4433524136499177e-16
2265.0,1.693239319801266e-16
2270.0,1.085040008951461e-16
2275.0,8.2143109690469e-17
2280.0,7.684229427071235e-17
2285.0,1.9207330828456214e-16
2290.0,2.751376285410474e-16
2295.0,3.2781091636430306e-16
2300.0,1.9892248121900561e-16
2305.0,6.612018830813452e-17
2310.0,6.309839970506518e-17
2315.0,4.6646930897776276e-17
2320.0,1.4919940659749887e-16
2325.0,1.446385189791284e-16
2330.0,1.183324655766861e-16
2335.0,4.150558382126626e-17
2340.0,1.1518327639511612e-16
2345.0,1.39025280354628e-16
2350.0,9.631720097771611e-17
2355.0,1.9599572218824277e-16
2360.0,1.4197025109076216e-16
2365.0,6.026536247614787e-17
2370.0,3.9789880586162737e-17
2375.0,1.098453185450802e-16
2380.0,6.916481346427769e-17
2385.0,7.422798897874587e-17
2390.0,9.473462674418302e-17
2395.0,1.8446016741951094e-17
2400.0,2.4831690160909418e-17
2405.0,1.1719654505565923e-16
2410.0,3.040529608984766e-17
2415.0,2.78130198393247e-17
2420.0,7.785604262236422e-17
2425.0,2.6205719744738375e-17
2430.0,5.2253886931352705e-17
2435.0,2.406279532669526e-17
2440.0,7.394589995660507e-17
2445.0,7.521431463433714e-17
2450.0,2.870356185069356e-17
2455.0,6.072007042569958e-17
2460.0,5.790110712601696e-17
2465.0,2.5902905712850136e-17
2470.0,4.9466461481127526e-17
2475.0,1.383604620900828e-16
2480.0,6.813055369487463e-17
2485.0,5.556907534430029e-17
2490.0,7.550381348101975e-17
2495.0,3.372481212376982e-17
2500.0,8.361986261986416e-17
2505.0,1.4251171400362338e-16
2510.0,5.597381832775616e-17
2515.0,2.3341236766406005e-17
2520.0,1.6339921214271488e-16
2525.0,3.0021043436763564e-17
2530.0,3.7191841466977377e-17
2535.0,8.671603965993819e-17
2540.0,6.259758770962e-17
2545.0,3.1129940084346794e-17
2550.0,8.308576583021543e-17
2555.0,6.442922276482594e-17
2560.0,3.3770927720520905e-17
2565.0,3.400455010662587e-17
2570.0,8.043904839738298e-17
2575.0,1.4312161469563405e-16
2580.0,5.525199122548287e-17
2585.0,7.866684036512836e-17
2590.0,5.997363049028492e-17
2595.0,5.512803579671439e-17
2600.0,1.1863219733237402e-16
2605.0,1.118064458756835e-16
2610.0,1.1057275982518011e-16
2615.0,4.130872741987706e-17
2620.0,6.359596852599455e-17
2625.0,5.25990055381361e-17
2630.0,2.6353420213989965e-17
2635.0,5.870247524914897e-17
2640.0,5.100725013374885e-17
2645.0,3.1569697252308405e-17
2650.0,3.526831846344275e-17
2655.0,4.079514090958346e-17
2660.0,4.195975852524766e-17
2665.0,3.475234043081618e-17
2670.0,2.1806695245873927e-17
2675.0,2.2668325554090695e-17
2680.0,3.2381095871875045e-17
2685.0,7.880266695484164e-17
2690.0,5.0179937567189177e-17
2695.0,4.6854075198484836e-17
2700.0,4.8462419594132486e-17
2705.0,4.3201312887875994e-17
2710.0,8.244581612493293e-17
2715.0,6.823044688776655e-17
2720.0,1.8993900301869405e-17
2725.0,5.410878582473509e-17
2730.0,5.0083461428091566e-17
2735.0,3.5286285616635775e-17
2740.0,2.8986022067828826e-17
2745.0,2.670100734876013e-17
2750.0,5.3125930471187123e-17
2755.0,2.2316610938384367e-17
2760.0,3.503278728024317e-17
2765.0,4.463642237524693e-17
2770.0,6.799490386329702e-17
2775.0,7.77842524021923e-17
2780.0,3.9996532838396465e-17
2785.0,6.985102563635593e-17
2790.0,7.226281759240714e-17
2795.0,5.687829125239142e-17
2800.0,4.223723577515266e-17
2805.0,6.759257073801639e-17
2810.0,2.851579106781634e-17
2815.0,2.241084871897969e-17
2820.0,7.49057262878333e-17
2825.0,1.1070361104388138e-16
2830.0,2.3515827489475607e-17
2835.0,9.441238324605096e-17
2840.0,3.8383560126421346e-17
2845.0,6.646985619869043e-17
2850.0,2.240165303542008e-17
2855.0,5.92218311211266e-17
2860.0,2.870216160560229e-17
2865.0,4.782638054126771e-17
2870.0,5.0460081418846447e-17
2875.0,3.346610304414208e-17
2880.0,5.946429058673755e-17
2885.0,4.32158296562891e-17
2890.0,2.870200634327678e-17
2895.0,7.293512138044542e-17
2900.0,8.85657988451398e-17
2905.0,3.30293065014191e-17
2910.0,2.84584282681217e-17
2915.0,4.870702834530499e-17
2920.0,3.249565304379303e-17
2925.0,9.449213134175947e-17
2930.0,6.30868124996046e-17
2935.0,9.34758082951874e-17
2940.0,7.778472694499308e-17
2945.0,7.865465470462473e-17
2950.0,3.394623697953071e-17
2955.0,2.172096131040842e-17
2960.0,5.164239856226772e-17
2965.0,5.233058206246096e-18
2970.0,9.171403702475537e-17
2975.0,1.2908500830194192e-17
2980.0,4.26406060064251e-17
2985.0,4.155405496900011e-17
2990.0,3.521489787538291e-17
2995.0,4.046330014591956e-17
3000.0,1.2791592716828023e-16
3005.0,5.437439932677713e-17
3010.0,9.611045832841782e-17
3015.0,1.1421237134898812e-16
3020.0,1.4802876172770795e-16
3025.0,2.093853679318787e-16
3030.0,1.5901180550562307e-16
3035.0,1.125721890501256e-16
3040.0,2.4422101641193314e-17
3045.0,9.488952426490471e-17
3050.0,5.574033647754627e-17
3055.0,7.160423795931213e-17
